Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Age,Population
2017,1,Ciutat Vella,1,el Raval,Male,0-4,224
2017,1,Ciutat Vella,2,el Barri Gòtic,Male,0-4,50
2017,1,Ciutat Vella,3,la Barceloneta,Male,0-4,43
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,0-4,95
2017,2,Eixample,5,el Fort Pienc,Male,0-4,124
2017,2,Eixample,6,la Sagrada Família,Male,0-4,191
2017,2,Eixample,7,la Dreta de l'Eixample,Male,0-4,176
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,0-4,158
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,0-4,220
2017,2,Eixample,10,Sant Antoni,Male,0-4,143
2017,3,Sants-Montjuïc,11,el Poble Sec,Male,0-4,180
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,0-4,10
2017,3,Sants-Montjuïc,13,la Marina de Port,Male,0-4,124
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,0-4,47
2017,3,Sants-Montjuïc,15,Hostafrancs,Male,0-4,79
2017,3,Sants-Montjuïc,16,la Bordeta,Male,0-4,80
2017,3,Sants-Montjuïc,17,Sants - Badal,Male,0-4,84
2017,3,Sants-Montjuïc,18,Sants,Male,0-4,195
2017,4,Les Corts,19,les Corts,Male,0-4,173
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Male,0-4,85
2017,4,Les Corts,21,Pedralbes,Male,0-4,37
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,0-4,16
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Male,0-4,119
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Male,0-4,71
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,0-4,104
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,0-4,203
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,0-4,150
2017,6,Gràcia,28,Vallcarca i els Penitents,Male,0-4,66
2017,6,Gràcia,29,el Coll,Male,0-4,37
2017,6,Gràcia,30,la Salut,Male,0-4,57
2017,6,Gràcia,31,la Vila de Gràcia,Male,0-4,242
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,0-4,168
2017,7,Horta-Guinardó,33,el Baix Guinardó,Male,0-4,117
2017,7,Horta-Guinardó,34,Can Baró,Male,0-4,27
2017,7,Horta-Guinardó,35,el Guinardó,Male,0-4,149
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Male,0-4,36
2017,7,Horta-Guinardó,37,el Carmel,Male,0-4,147
2017,7,Horta-Guinardó,38,la Teixonera,Male,0-4,50
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,0-4,21
2017,7,Horta-Guinardó,40,Montbau,Male,0-4,19
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Male,0-4,27
2017,7,Horta-Guinardó,42,la Clota,Male,0-4,1
2017,7,Horta-Guinardó,43,Horta,Male,0-4,106
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,0-4,85
2017,8,Nou Barris,45,Porta,Male,0-4,101
2017,8,Nou Barris,46,el Turó de la Peira,Male,0-4,68
2017,8,Nou Barris,47,Can Peguera,Male,0-4,6
2017,8,Nou Barris,48,la Guineueta,Male,0-4,60
2017,8,Nou Barris,49,Canyelles,Male,0-4,25
2017,8,Nou Barris,50,les Roquetes,Male,0-4,80
2017,8,Nou Barris,51,Verdun,Male,0-4,48
2017,8,Nou Barris,52,la Prosperitat,Male,0-4,92
2017,8,Nou Barris,53,la Trinitat Nova,Male,0-4,32
2017,8,Nou Barris,54,Torre Baró,Male,0-4,12
2017,8,Nou Barris,55,Ciutat Meridiana,Male,0-4,53
2017,8,Nou Barris,56,Vallbona,Male,0-4,5
2017,9,Sant Andreu,57,la Trinitat Vella,Male,0-4,61
2017,9,Sant Andreu,58,Baró de Viver,Male,0-4,9
2017,9,Sant Andreu,59,el Bon Pastor,Male,0-4,55
